rosbagTimestamp,milliseconds,rate,data_0,data_1
1534358460558136686,380292,1,0,941
1534358460558798582,380294,2,0,944
1534358460560755720,380295,1,0,948
1534358460561628918,380296,1,0,951
1534358460563959027,380297,1,0,954
1534358460565305282,380299,2,0,958
1534358460566338321,380300,1,0,961
1534358460567085790,380301,1,0,965
1534358460567917981,380302,1,0,968
1534358460569200802,380304,2,0,972
1534358460569921950,380305,1,0,975
1534358460571854896,380306,1,0,978
1534358460572632225,380307,1,0,981
1534358460574712137,380309,2,0,985
1534358460575358235,380310,1,0,988
1534358460577615117,380311,1,0,991
1534358460577760041,380312,1,0,995
1534358460579992434,380314,2,0,998
1534358460580741703,380315,1,0,1001
1534358460582733129,380316,1,0,1005
1534358460583444813,380318,2,0,1008
1534358460585331934,380319,1,0,1012
1534358460585964797,380320,1,0,1015
1534358460588212388,380322,2,0,1018
1534358460588756109,380323,1,0,1022
1534358460590792035,380324,1,0,1025
1534358460591427578,380325,1,0,1029
1534358460594495995,380327,2,0,1032
1534358460594499530,380328,1,0,1036
1534358460596409893,380329,1,0,1039
1534358460597273793,380332,3,0,1042
1534358460599047507,380333,1,0,1046
1534358460599888214,380334,1,0,1049
1534358460601958712,380336,2,0,1052
1534358460603113396,380337,1,0,1056
1534358460604856243,380338,1,0,1059
1534358460606301293,380340,2,0,1062
1534358460607713360,380341,1,0,1065
1534358460609301615,380342,1,0,1069
1534358460613390279,380344,2,0,1072
1534358460614510738,380345,1,0,1075
1534358460615566190,380346,1,0,1078
1534358460616647357,380348,2,0,1082
1534358460617808335,380349,1,0,1085
1534358460619032790,380350,1,0,1088
1534358460620090605,380352,2,0,1091
1534358460621168149,380353,1,0,1094
1534358460622297818,380354,1,0,1097
1534358460623357904,380356,2,0,1101
1534358460624708192,380357,1,0,1104
1534358460625826108,380358,1,0,1107
1534358460626953687,380360,2,0,1110
1534358460628154884,380361,1,0,1113
1534358460629324414,380362,1,0,1116
1534358460630329430,380364,2,0,1119
1534358460631716644,380365,1,0,1122
1534358460632828445,380366,1,0,1125
1534358460634447529,380368,2,0,1128
1534358460635462570,380369,1,0,1131
1534358460637358278,380370,1,0,1134
1534358460638235772,380372,2,0,1137
1534358460649509907,380374,2,0,1140
1534358460650376310,380375,1,0,1143
1534358460651317072,380377,2,0,1146
1534358460652152775,380378,1,0,1149
1534358460652945589,380379,1,0,1151
1534358460653711905,380381,2,0,1154
1534358460654571524,380382,1,0,1157
1534358460655319022,380383,1,0,1160
1534358460656233079,380385,2,0,1163
1534358460657080031,380386,1,0,1166
1534358460658271021,380387,1,0,1168
1534358460659085179,380389,2,0,1171
1534358460660013575,380390,1,0,1174
1534358460660822768,380391,1,0,1177
1534358460663241678,380393,2,0,1180
1534358460664139795,380394,1,0,1182
1534358460664917661,380395,1,0,1185
1534358460665646422,380397,2,0,1188
1534358460666606662,380398,1,0,1190
1534358460667440692,380399,1,0,1193
1534358460668238142,380401,2,0,1196
1534358460669054393,380402,1,0,1199
1534358460669849404,380403,1,0,1201
1534358460670599846,380405,2,0,1204
1534358460672579353,380406,1,0,1207
1534358460673390475,380407,1,0,1209
1534358460675159853,380409,2,0,1212
1534358460676061199,380410,1,0,1214
1534358460677913778,380411,1,0,1217
1534358460678852794,380412,1,0,1220
1534358460680588371,380414,2,0,1222
1534358460681483442,380416,2,0,1225
